,Movie,Audience,Open,Screen,watchGradeNm,genres
20192193,도굴,565469,2020-11-04,1634,12세이상관람가,범죄
20197121,삼진그룹 영어토익반,1257444,2020-10-21,1080,12세이상관람가,드라마
20199816,담보,1702252,2020-09-29,407,12세이상관람가,드라마
20208508,미스터트롯: 더 무비,140594,2020-10-22,159,전체관람가,공연
20194424,소리도 없이,401759,2020-10-15,126,15세이상관람가,범죄
20209304,다만 악에서 구하소서 파이널컷,34205,2020-10-28,78,청소년관람불가,액션
20178401,검객,188990,2020-09-23,23,15세이상관람가,액션
20206588,극장판 미니특공대: 햄버거괴물의 습격,55468,2020-09-30,38,전체관람가,애니메이션
20207113,관전녀2,169,2020-11-06,20,청소년관람불가,멜로/로맨스
20081003,박쥐,2208279,2009-04-30,1,청소년관람불가,공포(호러)
20206826,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",100725,2020-09-29,53,전체관람가,공연
20193666,오! 문희,350993,2020-09-02,20,12세이상관람가,코미디
20204684,브레이크 더 사일런스: 더 무비,131693,2020-09-24,66,전체관람가,다큐멘터리
20190601,디바,107480,2020-09-23,6,15세이상관람가,스릴러
20196750,웰컴 투 X-월드,710,2020-10-29,2,전체관람가,다큐멘터리
20184482,국제수사,534629,2020-09-29,11,15세이상관람가,코미디
20190621,죽지않는 인간들의 밤,101663,2020-09-29,7,15세이상관람가,코미디
20206291,피원에이치 : 새로운 세계의 시작 ,1912,2020-10-08,21,15세이상관람가,드라마
20208045,강철비2 : 정상회담 확장판,17918,2020-09-30,48,15세이상관람가,드라마
20196271,강철비2: 정상회담,1789780,2020-07-29,9,15세이상관람가,드라마
20204643,다시 만난 날들,2143,2020-09-24,105,12세이상관람가,뮤지컬
20197922,다만 악에서 구하소서,4354336,2020-08-05,37,15세이상관람가,범죄
20193450,반도,3811810,2020-07-15,6,15세이상관람가,액션
20205284,매지컬: 공주를 웃겨라,3901,2020-09-17,22,전체관람가,애니메이션
20183813,결백,894025,2020-06-10,14,15세이상관람가,드라마
20199883,오케이 마담,1228551,2020-08-12,23,15세이상관람가,코미디
20206679,공포체험라디오 4DX,1468,2020-09-16,36,15세이상관람가,공포(호러)
20205226,인디애니페스트2020 새벽비행1,576, ,2,,애니메이션
20205227,인디애니페스트2020 새벽비행2,265, ,2,,애니메이션
20050333,왕의 남자,10514167,2005-12-29,1,15세이상관람가,드라마
20158482,동주,1176644,2016-02-17,1,12세이상관람가,드라마
20148846,사도,6247739,2015-09-16,1,12세이상관람가,사극
20178982,박열,2359775,2017-06-28,1,12세이상관람가,드라마
20206260,예쁜 여동생 2,60,2020-09-06,1,청소년관람불가,멜로/로맨스
20204095,오렌지필름 기획전 - 지금이 아닌 계절을 써요,22, ,1,,기타
20202904,마지막 사랑,20,2020-09-04,20,청소년관람불가,멜로/로맨스
20101044,사랑방 손님과 어머니,1511, ,1,,드라마
20193069,#살아있다,1903703,2020-06-24,8,15세이상관람가,드라마
20193275,브링 더 소울 : 더 무비,337593,2019-08-07,33,전체관람가,기타
20203785,DIFF2020 경쟁9,31, ,1,,기타
20203804,DIFF2020 대구단편 신작전 <딮하고 숏하게>,18, ,1,,기타
20201785,태백권,1476,2020-08-20,60,15세이상관람가,코미디
20203083,그녀의 모유는 백신,170,2020-08-21,20,청소년관람불가,성인물(에로)
20209907,코리안시네마 단편 1 - 제21회 전주국제영화제,197, ,1,,기타
20201841,부활,14356,2020-07-09,10,전체관람가,다큐멘터리
20209852,한국단편경쟁 3 - 제21회 전주국제영화제,120, ,1,,기타
20209853,한국단편경쟁 6 - 제21회 전주국제영화제,161, ,1,,기타
20200293,보라보라,175, ,1,,다큐멘터리
20209949,생각의 여름,76, ,1,,드라마
20204033,미쟝센 단편영화제 수상작 특별전 섹션 1,58, ,1,,기타
20209934,홈리스,87, ,1,,드라마
20198501,빛과 철,71, ,1,,드라마
20209903,한국단편경쟁 1 - 제21회 전주국제영화제,63, ,1,,기타
20203821,18 승하의 누워서 떡 먹기,60,2020-08-07,1,청소년관람불가,멜로/로맨스
20200244,주부남편의 발기찬 바깥생활,169,2020-07-31,20,청소년관람불가,성인물(에로)
20196201,소리꾼,80984,2020-07-01,4,12세이상관람가,사극
20202063,클리어 코로나 19 - 로드무비,77, ,1,,드라마
20200002,프리즈너,1621,2020-07-23,2,15세이상관람가,액션
20202286,인디포럼2020 신작전 단편1 : 재현불가,98, ,1,,기타
20090557,호우시절,288419,2009-10-08,5,15세이상관람가,멜로/로맨스
20202301,인디포럼2020 신작전 단편4 : 당신이 보지 못한 시간,45, ,1,,기타
20100509,피아골,887,1955-09-23,1,,드라마
20201801,오렌지필름 기획전 - 쓰-다.,47, ,1,,기타
20193859,사라진 시간,185783,2020-06-18,1,15세이상관람가,미스터리
20200846,부산행:익스텐디드,4098,2020-07-01,2,15세이상관람가,액션
20202646,[It's My turn!] 무서운 이야기-이선영 ,11, ,1,,공포(호러)
20197863,침입자,531969,2020-06-04,20,15세이상관람가,미스터리
20201828,불륜의 세계,169,2020-07-10,20,청소년관람불가,기타
20202458,가슴 큰 태희-무삭제판,60,2020-07-10,1,청소년관람불가,멜로/로맨스
20202083,클리어 코로나 19 - 19앤오버,20, ,3,,드라마
20170841,리틀 포레스트,1508063,2018-02-28,27,전체관람가,드라마
20201045,옆집소녀4,168,2020-07-03,19,청소년관람불가,멜로/로맨스
20209405,여배우들: 섹스 오디션,60,2020-07-03,1,청소년관람불가,성인물(에로)
20070282,가리베가스,25, ,1,18세관람가,드라마
20209021,런 보이 런,2886,2020-05-28,2,15세이상관람가,드라마
20200747,MSFF2020 희극지왕 2,137, ,1,,코미디
20200724,MSFF2020 희극지왕 1,118, ,1,,코미디
20200748,MSFF2020 희극지왕 3,104, ,1,,코미디
20200722,MSFF2020 비정성시 2,95, ,1,,드라마
20198890,아이즈 온 미 : 더 무비,37743,2020-06-10,100,전체관람가,공연
20200490,제인의 썸머,2062,2020-06-18,30,청소년관람불가,멜로/로맨스
20209430,열혈형사,2088,2020-06-18,121,12세이상관람가,코미디
20207722,저 산 너머,103412,2020-04-30,6,12세이상관람가,드라마
20209426,아이돌 섹스: LA 교포녀,60,2020-06-19,1,청소년관람불가,성인물(에로)
20209461,입천장 까지도록 와그작,36, ,1,,기타
20010020,엽기적인 그녀,57,2001-07-26,1,15세관람가,코미디
20209488,싸와디캅 원정섹스,19,2020-06-12,19,청소년관람불가,성인물(에로)
20193836,핑크퐁 시네마 콘서트 : 우주대탐험,17597,2020-01-30,1,전체관람가,애니메이션
20209602,19th 필름다빈 프로젝트: 김해나 배우전 ,36, ,1,,기타
19970014,접속,1854,1997-09-13,1,고등학생이상관람가,멜로/로맨스
20185881,증인,2534853,2019-02-13,1,12세이상관람가,드라마
20129370,명량,17615685,2014-07-30,1,15세이상관람가,사극
20183782,기생충,10313062,2019-05-30,4,15세이상관람가,드라마
20209506,방콕 어린형수,20,2020-06-05,20,청소년관람불가,성인물(에로)
20180962,지푸라기라도 잡고 싶은 짐승들,627247,2020-02-19,6,청소년관람불가,스릴러
20193321,정직한 후보,1536652,2020-02-12,3,12세이상관람가,코미디
20126674,설국열차,9353332,2013-08-01,26,15세이상관람가,SF
20124401,신세계,4688978,2013-02-21,20,청소년관람불가,범죄
20030046,살인의 추억,12834,2003-04-25,24,15세관람가,스릴러
20209282,이모의유혹3,169,2020-05-29,20,청소년관람불가,멜로/로맨스
20209166,배달노출2 : 초대남과 좋아죽는 와이프,138,2020-05-29,20,청소년관람불가,성인물(에로)
20127593,7번방의 선물,12812039,2013-01-23,34,15세이상관람가,코미디
20120426,고령화 가족,1141444,2013-05-09,16,15세이상관람가,드라마
20208595,얼굴없는 보스: 못다한 이야기 감독판,1472,2020-05-13,6,15세이상관람가,범죄
20182530,극한직업,16266337,2019-01-23,1,15세이상관람가,코미디
20000011,동감,5503,2000-05-27,3,12세관람가,멜로/로맨스
20209441,가슴 큰 울 엄마 2,60,2020-05-22,1,청소년관람불가,멜로/로맨스
20208988,아르코라이브 의자 고치는 여인,84,2020-05-20,6,12세이상관람가,공연
20158022,구름은 흘러도,2348, ,1,,드라마
20188421,미스터 주: 사라진 VIP,604143,2020-01-22,3,12세이상관람가,코미디
20208941,가슴 큰 가인,51,2020-05-15,20,청소년관람불가,멜로/로맨스
20208801,siff 2020 단편2 : 비밀과 거짓말,36, ,1,,기타
20208802,siff 2020 단편5 : 다가가고 싶은 오늘,24, ,1,,기타
20208781,siff 2020 단편1 : 세상에 모든 그녀들 ,23, ,1,,기타
20208744,82년생 박아라,281, ,20,청소년관람불가,멜로/로맨스
20198323,레드슈즈,820740,2019-07-25,21,전체관람가,애니메이션
20208620,오렌지필름 기획전 - 울고 싶을 땐 꼭 비가 오더라,47, ,1,,기타
20198183,뽀로로 극장판 보물섬 대모험,767737,2019-04-25,4,전체관람가,애니메이션
20208803,<인디피크닉 2020> 씨네큐브 단편3 : 각자의 길 위에서 ,27, ,1,,기타
20186501,극장판 헬로카봇 : 백악기 시대,880776,2018-08-01,4,전체관람가,애니메이션
20208597,아르코라이브 무용 히트 앤 런,38,2020-05-06,4,전체관람가,공연
20193821,극장판 헬로카봇 : 달나라를 구해줘!,590708,2019-09-04,22,전체관람가,애니메이션
20206305,아르코라이브 뮤지컬 안테모사,908,2020-03-25,13,전체관람가,공연
20164844,불한당: 나쁜 놈들의 세상,963239,2017-05-17,1,청소년관람불가,범죄
20182447,클로젯,1270288,2020-02-05,7,15세이상관람가,미스터리
20198414,시동,3318429,2019-12-18,4,15세이상관람가,드라마
20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,894356,2019-12-19,2,전체관람가,애니메이션
20192206,백두산,8252669,2019-12-19,1,12세이상관람가,어드벤처
20192101,히트맨,2406232,2020-01-22,2,15세이상관람가,코미디
20207464,사내정사: 은밀한 회의실,165,2020-04-24,20,청소년관람불가,드라마
20192984,극장판 미니특공대: 공룡왕 디노 ,79723,2020-02-06,3,전체관람가,애니메이션
20191422,공수도,2795,2020-04-09,13,15세이상관람가,액션
20207465,배달노출 : 알몸으로 유혹하기,81,2020-04-17,20,청소년관람불가,성인물(에로)
20183096,생일,1197685,2019-04-03,13,전체관람가,드라마
20206928,낮손님,297,2020-04-15,7,청소년관람불가,미스터리
20149314,내부자들,7073543,2015-11-19,2,청소년관람불가,범죄
20197742,부재의 기억,22, ,1,,다큐멘터리
20100213,부당거래,2725699,2010-10-28,10,청소년관람불가,범죄
20206424,사랑하고 있습니까,12820,2020-03-25,13,12세이상관람가,판타지
19970037,비트,1537,1997-05-03,5,연소자관람불가,액션
20180804,곤지암,2676423,2018-03-28,3,15세이상관람가,공포(호러)
20193690,환각섹스,244,2020-04-03,10,청소년관람불가,멜로/로맨스
20193689,누드모델의 목적,244,2020-04-03,10,청소년관람불가,멜로/로맨스
20206462,스폰서 X,242,2020-03-27,18,청소년관람불가,멜로/로맨스
20185484,안나 카레니나,5073,2018-06-29,5,12세이상관람가,뮤지컬
20191047,청불학원2,79,2020-03-27,20,청소년관람불가,
20205563,여선생3,169,2020-03-20,20,청소년관람불가,기타
20205709,친구누나들,110,2020-03-20,20,청소년관람불가,멜로/로맨스
20174981,창궐,1599610,2018-10-25,1,15세이상관람가,사극
20180939,남산의 부장들,4750078,2020-01-22,3,15세이상관람가,드라마
20205100,다 해주는 태국 여비서,1, ,1,청소년관람불가,드라마
20204436,목공소에서 생긴 일,51,2020-03-06,20,청소년관람불가,멜로/로맨스
20205621,시호,268,2020-02-27,6,청소년관람불가,멜로/로맨스
20206081,유관순과 8호감방 ,10, ,1,12세이상관람가,기타
20183002,해치지않아,1224546,2020-01-15,6,12세이상관람가,코미디
20192086,여동생의 사생활,134,2020-02-14,16,청소년관람불가,멜로/로맨스
20184571,천문: 하늘에 묻는다,2000393,2019-12-26,4,12세이상관람가,사극
20204804,의붓 여동생,169,2020-02-07,20,청소년관람불가,드라마
20184722,사냥의 시간,850, ,2,,스릴러
19598036,여사장,2235, ,1,,코미디
20192507,도도녀 길들이기 ,187,2020-01-10,20,청소년관람불가,멜로/로맨스
20193393,어린 관리사 ,169,2020-01-10,20,청소년관람불가,성인물(에로)
20191029,82년생 김지영,3678292,2019-10-23,1,12세이상관람가,드라마
20195002,블랙머니,2479464,2019-11-13,5,12세이상관람가,범죄
20193688,과외 누나,244,2020-01-03,20,청소년관람불가,멜로/로맨스
20192026,대리 남편 ,169,2020-01-03,20,청소년관람불가,기타
20191532,아내와 내 친구들,169,2020-01-03,20,청소년관람불가,멜로/로맨스
20187322,"힘을 내요, 미스터 리",1181960,2019-09-11,5,12세이상관람가,코미디
20194045,극장판 반지의 비밀일기,68339,2019-09-11,4,전체관람가,애니메이션
20184483,퍼펙트맨,1240022,2019-10-02,4,15세이상관람가,코미디
20190385,웃는남자 감독판,12820,2019-11-29,1,전체관람가,공연
20188462,감쪽같은 그녀,469015,2019-12-04,7,전체관람가,드라마
20193601,장사리 : 잊혀진 영웅들,1140708,2019-09-25,3,12세이상관람가,전쟁
20185161,나를 찾아줘,642367,2019-11-27,101,15세이상관람가,스릴러
20192397,2019 중앙영화제 GLIMPSE 섹션,268, ,2,,기타
20176251,내안의 그놈,1917999,2019-01-09,1,15세이상관람가,판타지
20184621,엑시트,9425492,2019-07-31,2,12세이상관람가,코미디
20192486,2019 중앙영화제 GLARE 섹션 ,188, ,1,,기타
20194621,아직 사랑하고 있습니까?,1216,2019-12-04,34,청소년관람불가,코미디
20181434,신의 한 수: 귀수편,2155013,2019-11-07,10,15세이상관람가,범죄
20191366,(2019최강애니전) 소녀이야기,1060, ,1,,기타
20184341,얼굴없는 보스,23451,2019-11-21,16,15세이상관람가,액션
20190636,제 15회 성균관대학교 영상학과 졸업영상제 TeenScreen,1269, ,1,,기타
20199435,몬테크리스토,1661,2019-11-14,9,12세이상관람가,뮤지컬
20184462,봉오동 전투,4784703,2019-08-07,2,15세이상관람가,사극
20195920,가장 보통의 연애,2923009,2019-10-02,13,15세이상관람가,멜로/로맨스
20140703,장수상회,1166729,2015-04-09,1,12세이상관람가,멜로/로맨스
20174142,아이 캔 스피크,3283073,2017-09-21,3,12세이상관람가,코미디
20199032,최음섹스,244,2019-11-08,20,청소년관람불가,멜로/로맨스
20188750,나쁜 녀석들: 더 무비,4573353,2019-09-11,3,15세이상관람가,범죄
20185361,두번할까요,175567,2019-10-17,7,15세이상관람가,코미디
20198732,AISFF 2019 국내경쟁 그룹1,319, ,1,,기타
20198733,AISFF 2019 국내경쟁 그룹2,314, ,1,,드라마
20198734,AISFF 2019 국내경쟁 그룹3,314, ,1,,드라마
20184105,말모이,2866453,2019-01-09,1,12세이상관람가,드라마
20030003,클래식,15240,2003-01-30,19,12세관람가,드라마
20110279,마당을 나온 암탉,2204374,2011-07-28,28,전체관람가,애니메이션
20186707,오늘도 위위,1114,2019-10-17,40,전체관람가,드라마
20194456,양자물리학,552187,2019-09-25,33,15세이상관람가,범죄
20198318,강남 며느리,176,2019-10-11,20,청소년관람불가,멜로/로맨스
20185784,나의 특별한 형제,1476777,2019-05-01,1,12세이상관람가,드라마
20184572,타짜: 원 아이드 잭,2227543,2019-09-11,69,청소년관람불가,범죄
20184543,변신,1803112,2019-08-21,5,15세이상관람가,공포(호러)
20182585,비스트,203042,2019-06-26,5,15세이상관람가,범죄
20181416,유열의 음악앨범,1240975,2019-08-28,105,12세이상관람가,멜로/로맨스
20185985,광대들: 풍문조작단,632384,2019-08-21,199,12세이상관람가,사극
20020061,집으로...,4975,2002-04-04,51,전체관람가,드라마
20182490,나랏말싸미,954880,2019-07-24,3,전체관람가,사극
20193642,캐리tv 러브콘서트 더 무비,29091,2019-08-07,22,전체관람가,공연
20188404,암전,101366,2019-08-15,36,15세이상관람가,미스터리
20180442,사자,1602046,2019-07-31,213,15세이상관람가,미스터리
20194044,공포체험단 곤지암편,3282,2019-07-19,11,15세이상관람가,공포(호러)
20194141,어우동과 춘향뎐,245,2019-08-09,20,청소년관람불가,멜로/로맨스
20185353,기방도령,284283,2019-07-10,5,15세이상관람가,코미디
20193013,극장판 샤이닝스타:새로운 루나퀸의 탄생!,15703,2019-07-18,6,전체관람가,애니메이션
20185986,진범,166838,2019-07-10,38,15세이상관람가,스릴러
20198453,롱 리브 더 킹: 목포 영웅,1092611,2019-06-19,7,15세이상관람가,액션
20188941,악인전,3364100,2019-05-15,6,청소년관람불가,범죄
20124079,"광해, 왕이 된 남자",12323988,2012-09-13,1,15세이상관람가,사극
20187981,배심원들,287902,2019-05-15,1,12세이상관람가,드라마
20192591,BIFAN2019 판타스틱 단편 걸작선 1,25000, ,5,,기타
20122783,감시자들,5509019,2013-07-03,1,15세이상관람가,범죄
20180361,귀신의 향기,543,2019-07-03,17,15세이상관람가,공포(호러)
20192747,이모의유혹2,110,2019-07-05,20,청소년관람불가,멜로/로맨스
20192421,MSFF2019 희극지왕 1,408, ,1,,코미디
20192360,MSFF2019 4만번의 구타 2,396, ,1,,스릴러
20192422,MSFF2019 희극지왕 3,395, ,1,,코미디
20192242,MSFF2019 사랑에 관한 짧은 필름 2,383, ,1,,멜로/로맨스
20192359,MSFF2019 4만번의 구타 1,381, ,1,,스릴러
20184082,걸캅스,1627524,2019-05-09,9,15세이상관람가,코미디
20199448,어린 의뢰인,199375,2019-05-22,6,12세이상관람가,드라마
20192426,시월드,184,2019-06-21,20,청소년관람불가,멜로/로맨스
20151229,더 킹,5317959,2017-01-18,1,15세이상관람가,범죄
20188144,0.0MHz,136939,2019-05-29,26,15세이상관람가,공포(호러)
20191744,노리개: 그녀의 눈물,2287,2019-06-13,50,15세이상관람가,드라마
20198982,크게 될 놈,102374,2019-04-18,2,15세이상관람가,드라마
20191603,아빠와 딸,248,2019-06-07,20,청소년관람불가,멜로/로맨스
20191891,[KQFF] 국내단편1:우당탕탕 퀴어들,334, ,1,,드라마
20191841,오피스텔-잘하는애들로,122,2019-06-07,20,청소년관람불가,멜로/로맨스
20090248,마더,2980954,2009-05-28,7,청소년관람불가,드라마
20180825,미성년,292140,2019-04-11,8,15세이상관람가,드라마
20175547,스윙키즈,1472702,2018-12-19,38,12세이상관람가,드라마
20182501,왓칭,55083,2019-04-17,6,15세이상관람가,공포(호러)
20142406,탐정 홍길동: 사라진 마을,1430960,2016-05-04,1,15세이상관람가,드라마
20137048,국제시장,14262976,2014-12-17,1,12세이상관람가,드라마
20190791,오렌지필름 기획전-유지영 감독전 <The color of YOO>,5, ,1,,기타
20176103,돈,3388756,2019-03-20,20,15세이상관람가,범죄
20175407,우상,183744,2019-03-20,2,15세이상관람가,스릴러
20198124,오렌지필름 4주년,18, ,1,,기타
20156564,부산행,11567318,2016-07-20,14,15세이상관람가,액션
20199763,엄마학개론,110,2019-04-19,20,청소년관람불가,멜로/로맨스
20198633,내 엄마의 친구 2,440,2019-04-12,25,청소년관람불가,멜로/로맨스
20177552,국가부도의 날,3755133,2018-11-28,1,12세이상관람가,드라마
20197846,악질경찰,260989,2019-03-20,13,청소년관람불가,범죄
20166301,썬키스 패밀리,31283,2019-03-27,20,15세이상관람가,가족
20177539,사바하,2398348,2019-02-20,5,15세이상관람가,미스터리
20198913,여배우: 섹스수업,174,2019-04-05,20,청소년관람불가,멜로/로맨스
20186324,언더독,193837,2019-01-16,4,전체관람가,애니메이션
20199045,SIDOF2019_망치/75미터의 끝에서/유언,166, ,1,,다큐멘터리
20198005,2019 한국영화아카데미 35기 졸업영화제 개막작,800, ,1,,드라마
20197986,2019 한국영화아카데미 35기 졸업영화제 섹션A,640, ,1,,드라마
20198006,2019 한국영화아카데미 35기 졸업영화제 섹션B,640, ,1,,드라마
20198007,2019 한국영화아카데미 35기 졸업영화제 섹션C,640, ,1,,드라마
20176442,자전차왕 엄복동,168884,2019-02-27,68,12세이상관람가,드라마
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,574302,2019-01-31,12,전체관람가,애니메이션
20198465,가슴 큰 여자친구,189,2019-03-08,20,청소년관람불가,멜로/로맨스
20198083,오렌지필름 3월 상영회 [눈을 감아보면] ,21, ,1,,기타
20181206,밤빛,61, ,1,,드라마
20174169,기묘한 가족,262920,2019-02-13,9,12세이상관람가,코미디
20186202,신과함께-인과 연,12276115,2018-08-01,2,12세이상관람가,판타지
19970033,낮은 목소리 2,119,1997-08-22,1,연소자관람가,다큐멘터리
20166602,그대 이름은 장미,86838,2019-01-16,2,12세이상관람가,코미디
20180868,뺑반,1826154,2019-01-30,9,15세이상관람가,범죄
20101003,혈투,44462,2011-02-24,1,15세이상관람가,액션
20185124,러브 유어셀프 인 서울,342366,2019-01-26,48,전체관람가,공연
20183915,극장판 공룡메카드: 타이니소어의 섬,408822,2019-01-10,17,전체관람가,애니메이션
20170658,PMC: 더 벙커,1670859,2018-12-26,5,15세이상관람가,액션
20183785,점박이 한반도의 공룡2 : 새로운 낙원,548661,2018-12-25,10,전체관람가,애니메이션
20184187,언니,197211,2019-01-01,94,청소년관람불가,액션
20168773,마약왕,1863283,2018-12-19,10,청소년관람불가,범죄
20179230,도어락,1560352,2018-12-05,5,15세이상관람가,스릴러
20177538,완벽한 타인,5292712,2018-10-31,29,15세이상관람가,드라마
20184578,초대녀 2,184,2018-12-28,20,청소년관람불가,멜로/로맨스
20183745,런닝맨 : 풀룰루의 역습,186064,2018-12-05,36,전체관람가,애니메이션
20183650,번개맨의 비밀,49367,2018-12-06,113,전체관람가,가족
20184481,성난황소,1590591,2018-11-22,98,15세이상관람가,범죄
20184529,트와이스랜드,17823,2018-12-07,10,전체관람가,다큐멘터리
20182981,리벤져,2322,2018-12-06,45,15세이상관람가,액션
20183634,SIFF2018-폐막식,296, ,1,,기타
20183050,번 더 스테이지: 더 무비,312584,2018-11-15,57,전체관람가,기타
20181561,덕구,315164,2018-04-05,4,전체관람가,드라마
20189869,해피 투게더,24827,2018-11-15,5,12세이상관람가,드라마
20173202,버닝,528372,2018-05-17,1,청소년관람불가,미스터리
20170513,동네사람들,459918,2018-11-07,28,15세이상관람가,액션
20176122,안시성,5439308,2018-09-19,1,12세이상관람가,사극
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,40892,2018-09-20,3,전체관람가,애니메이션
20179006,여곡성,66455,2018-11-08,40,15세이상관람가,공포(호러)
20101125,로맨스그레이,1115, ,1,12세이상관람가,드라마
20189067,미쓰백,721183,2018-10-11,6,15세이상관람가,드라마
20179189,암수살인,3786412,2018-10-03,63,15세이상관람가,범죄
20020106,복수는 나의 것,1918,2002-03-28,8,18세관람가,범죄
20050148,친절한 금자씨,3121204,2005-07-29,9,18세관람가,스릴러
20177308,협상,1967721,2018-09-19,4,15세이상관람가,범죄
20172469,허스토리,335540,2018-06-27,2,12세이상관람가,드라마
20182932,SPFF 2018 얼음강+백서,241, ,1,,드라마
19760096,금욕,285,1976-03-13,1,12세이상관람가,드라마
20184678,배반의 장미,40208,2018-10-18,57,15세이상관람가,코미디
20179101,공작,4974340,2018-08-08,1,12세이상관람가,드라마
20172204,명당,2084319,2018-09-19,4,12세이상관람가,사극
20167903,원더풀 고스트,448316,2018-09-26,9,12세이상관람가,코미디
20153446,너의 결혼식,2820486,2018-08-22,7,12세이상관람가,멜로/로맨스
20177537,상류사회,767589,2018-08-29,5,청소년관람불가,드라마
20156554,물괴,719968,2018-09-12,90,15세이상관람가,액션
20180367,인디애니페스트 2018 새벽비행 2,2806, ,5,,애니메이션
20170670,목격자,2522729,2018-08-15,64,15세이상관람가,스릴러
20180333,인디애니페스트 2018 새벽비행 1,1168, ,2,,애니메이션
20189161,꽃찌: 독이 있는 사랑,889,2018-08-23,1,청소년관람불가,드라마
20188501,미친도시,1992,2018-08-30,2,15세이상관람가,드라마
20180113,과외의 추억,179,2018-09-07,20,청소년관람불가,멜로/로맨스
20180874,PDFF2018 장애인미디어운동2,123, ,1,,기타
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,677788,2018-07-25,6,전체관람가,애니메이션
20175217,레터스,150, ,1,,다큐멘터리
20179383,독전,5063620,2018-05-22,1,15세이상관람가,범죄
20170942,인랑,897255,2018-07-25,5,15세이상관람가,SF
20060434,침묵의 숲,90, ,1,,다큐멘터리
20185341,마녀,3188969,2018-06-27,1,15세이상관람가,미스터리
