,Unnamed: 0,Code,Movie,Audience,Screen,genres,AgeRate,month,year,four_month,year_cat,Point,마동석,황정민,정만식,박성웅,라미란,송강호,오달수,성동일,조진웅,김희원
0,0,20192193,도굴,565.469,1634,범죄,청소년관람가,11,2020,4,35,7.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,20197121,삼진그룹 영어토익반,1257.444,1080,드라마,청소년관람가,10,2020,4,35,8.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,20199816,담보,1702.2520000000006,407,드라마,청소년관람가,9,2020,4,35,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3,3,20208508,미스터트롯: 더 무비,140.594,159,공연,전체관람가,10,2020,4,35,8.95,,,,,,,,,,
4,4,20194424,소리도 없이,401.759,126,범죄,청소년관람가,10,2020,4,35,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,20209304,다만 악에서 구하소서 파이널컷,34.205,78,액션,18세이상관람가,10,2020,4,35,7.84,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,20178401,검객,188.99,23,액션,청소년관람가,9,2020,4,35,8.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,20206588,극장판 미니특공대: 햄버거괴물의 습격,55.468,38,애니메이션,전체관람가,9,2020,4,35,8.49,,,,,,,,,,
8,8,20081003,박쥐,2208.279,1,공포(호러),18세이상관람가,4,2009,2,24,6.09,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
9,9,20206826,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",100.725,53,공연,전체관람가,9,2020,4,35,9.38,,,,,,,,,,
10,10,20193666,오! 문희,350.99300000000005,20,코미디,청소년관람가,9,2020,4,35,8.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,20204684,브레이크 더 사일런스: 더 무비,131.69299999999998,66,다큐멘터리,전체관람가,9,2020,4,35,9.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,20190601,디바,107.48,6,스릴러,청소년관람가,9,2020,4,35,6.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,20196750,웰컴 투 X-월드,0.71,2,다큐멘터리,전체관람가,10,2020,4,35,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,20184482,국제수사,534.629,11,코미디,청소년관람가,9,2020,4,35,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,15,20190621,죽지않는 인간들의 밤,101.663,7,코미디,청소년관람가,9,2020,4,35,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,20206291,피원에이치 : 새로운 세계의 시작 ,1.912,21,드라마,청소년관람가,10,2020,4,35,5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,20208045,강철비2 : 정상회담 확장판,17.918,48,드라마,청소년관람가,9,2020,4,35,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,20196271,강철비2: 정상회담,1789.78,9,드라마,청소년관람가,7,2020,3,35,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,20204643,다시 만난 날들,2.1430000000000002,105,뮤지컬,청소년관람가,9,2020,4,35,9.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,20197922,다만 악에서 구하소서,4354.335999999998,37,범죄,청소년관람가,8,2020,3,35,7.71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,20193450,반도,3811.81,6,액션,청소년관람가,7,2020,3,35,5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,20205284,매지컬: 공주를 웃겨라,3.9010000000000002,22,애니메이션,전체관람가,9,2020,4,35,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,20183813,결백,894.025,14,드라마,청소년관람가,6,2020,3,35,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,20199883,오케이 마담,1228.5510000000004,23,코미디,청소년관람가,8,2020,3,35,6.51,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,20206679,공포체험라디오 4DX,1.4680000000000002,36,공포(호러),청소년관람가,9,2020,4,35,3.35,,,,,,,,,,
26,26,20050333,왕의 남자,10514.167,1,드라마,청소년관람가,12,2005,1,23,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,20158482,동주,1176.644,1,드라마,청소년관람가,2,2016,1,31,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,20148846,사도,6247.739000000001,1,사극,청소년관람가,9,2015,4,30,8.21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,29,20178982,박열,2359.775,1,드라마,청소년관람가,6,2017,3,32,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,20193069,#살아있다,1903.703,8,드라마,청소년관람가,6,2020,3,35,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,20193275,브링 더 소울 : 더 무비,337.593,33,기타,전체관람가,8,2019,3,34,9.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,20201785,태백권,1.476,60,코미디,청소년관람가,8,2020,3,35,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,20201841,부활,14.356,10,다큐멘터리,전체관람가,7,2020,3,35,8.49,,,,,,,,,,
34,34,20196201,소리꾼,80.984,4,사극,청소년관람가,7,2020,3,35,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,20200002,프리즈너,1.621,2,액션,청소년관람가,7,2020,3,35,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,20090557,호우시절,288.4190000000001,5,멜로/로맨스,청소년관람가,10,2009,4,24,7.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,20193859,사라진 시간,185.783,1,미스터리,청소년관람가,6,2020,3,35,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,38,20200846,부산행:익스텐디드,4.098,2,액션,청소년관람가,7,2020,3,35,8.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,20197863,침입자,531.969,20,미스터리,청소년관람가,6,2020,3,35,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,20170841,리틀 포레스트,1508.0629999999999,27,드라마,전체관람가,2,2018,1,33,8.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,20209021,런 보이 런,2.886,2,드라마,청소년관람가,5,2020,2,35,7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,20198890,아이즈 온 미 : 더 무비,37.743,100,공연,전체관람가,6,2020,3,35,9.69,,,,,,,,,,
43,43,20209430,열혈형사,2.088,121,코미디,청소년관람가,6,2020,3,35,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,20207722,저 산 너머,103.412,6,드라마,청소년관람가,4,2020,2,35,8.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,20010020,엽기적인 그녀,0.057,1,코미디,청소년관람가,7,2001,3,20,9.29,,,,,,,,,,
46,46,20193836,핑크퐁 시네마 콘서트 : 우주대탐험,17.597,1,애니메이션,전체관람가,1,2020,1,35,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47,19970014,접속,1.854,1,멜로/로맨스,18세이상관람가,9,1997,4,18,8.69,,,,,,,,,,
48,48,20185881,증인,2534.853,1,드라마,청소년관람가,2,2019,1,34,9.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,20129370,명량,17615.685,1,사극,청소년관람가,7,2014,3,29,8.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,50,20183782,기생충,10313.062,4,드라마,청소년관람가,5,2019,2,34,8.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51,51,20180962,지푸라기라도 잡고 싶은 짐승들,627.247,6,스릴러,18세이상관람가,2,2020,1,35,7.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,20193321,정직한 후보,1536.652,3,코미디,청소년관람가,2,2020,1,35,7.79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53,53,20126674,설국열차,9353.332,26,SF,청소년관람가,8,2013,3,28,7.98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,54,20124401,신세계,4688.978,20,범죄,18세이상관람가,2,2013,1,28,8.92,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,20030046,살인의 추억,12.834000000000001,24,스릴러,청소년관람가,4,2003,2,22,9.38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,56,20127593,7번방의 선물,12812.038999999999,34,코미디,청소년관람가,1,2013,1,28,8.83,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
57,57,20120426,고령화 가족,1141.444,16,드라마,청소년관람가,5,2013,2,28,8.15,,,,,,,,,,
58,58,20208595,얼굴없는 보스: 못다한 이야기 감독판,1.472,6,범죄,청소년관람가,5,2020,2,35,5.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59,20182530,극한직업,16266.337,1,코미디,청소년관람가,1,2019,1,34,8.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,20000011,동감,5.502999999999999,3,멜로/로맨스,전체관람가,5,2000,2,19,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,20208988,아르코라이브 의자 고치는 여인,0.084,6,공연,청소년관람가,5,2020,2,35,9.3,,,,,,,,,,
62,62,20188421,미스터 주: 사라진 VIP,604.143,3,코미디,청소년관람가,1,2020,1,35,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,20198323,레드슈즈,820.74,21,애니메이션,전체관람가,7,2019,3,34,9.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64,20198183,뽀로로 극장판 보물섬 대모험,767.737,4,애니메이션,전체관람가,4,2019,2,34,9.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65,20186501,극장판 헬로카봇 : 백악기 시대,880.7760000000003,4,애니메이션,전체관람가,8,2018,3,33,9.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66,20208597,아르코라이브 무용 히트 앤 런,0.038,4,공연,전체관람가,5,2020,2,35,0.0,,,,,,,,,,
67,67,20193821,극장판 헬로카봇 : 달나라를 구해줘!,590.7080000000002,22,애니메이션,전체관람가,9,2019,4,34,7.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,20206305,아르코라이브 뮤지컬 안테모사,0.9079999999999999,13,공연,전체관람가,3,2020,2,35,9.2,,,,,,,,,,
69,69,20164844,불한당: 나쁜 놈들의 세상,963.2389999999999,1,범죄,18세이상관람가,5,2017,2,32,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,70,20182447,클로젯,1270.288,7,미스터리,청소년관람가,2,2020,1,35,7.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71,20198414,시동,3318.429,4,드라마,청소년관람가,12,2019,1,34,7.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,894.3560000000001,2,애니메이션,전체관람가,12,2019,1,34,8.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73,20192206,백두산,8252.669,1,어드벤처,청소년관람가,12,2019,1,34,5.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74,20192101,히트맨,2406.232,2,코미디,청소년관람가,1,2020,1,35,7.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,75,20192984,극장판 미니특공대: 공룡왕 디노 ,79.723,3,애니메이션,전체관람가,2,2020,1,35,8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76,20191422,공수도,2.795,13,액션,청소년관람가,4,2020,2,35,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,20183096,생일,1197.685,13,드라마,전체관람가,4,2019,2,34,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78,20149314,내부자들,7073.543000000002,2,범죄,18세이상관람가,11,2015,4,30,9.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79,20100213,부당거래,2725.699,10,범죄,18세이상관람가,10,2010,4,25,8.68,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,20206424,사랑하고 있습니까,12.82,13,판타지,청소년관람가,3,2020,2,35,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81,19970037,비트,1.537,5,액션,18세이상관람가,5,1997,2,18,8.85,,,,,,,,,,
82,82,20180804,곤지암,2676.423,3,공포(호러),청소년관람가,3,2018,2,33,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,83,20185484,안나 카레니나,5.073,5,뮤지컬,청소년관람가,6,2018,3,33,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,84,20174981,창궐,1599.61,1,사극,청소년관람가,10,2018,4,33,5.49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85,20180939,남산의 부장들,4750.0779999999995,3,드라마,청소년관람가,1,2020,1,35,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86,20183002,해치지않아,1224.546,6,코미디,청소년관람가,1,2020,1,35,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,87,20184571,천문: 하늘에 묻는다,2000.3929999999998,4,사극,청소년관람가,12,2019,1,34,8.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,88,20191029,82년생 김지영,3678.292,1,드라마,청소년관람가,10,2019,4,34,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,89,20195002,블랙머니,2479.464,5,범죄,청소년관람가,11,2019,4,34,8.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90,90,20187322,"힘을 내요, 미스터 리",1181.96,5,코미디,청소년관람가,9,2019,4,34,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,91,20194045,극장판 반지의 비밀일기,68.339,4,애니메이션,전체관람가,9,2019,4,34,9.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,92,20184483,퍼펙트맨,1240.022,4,코미디,청소년관람가,10,2019,4,34,7.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
93,93,20190385,웃는남자 감독판,12.82,1,공연,전체관람가,11,2019,4,34,9.5,,,,,,,,,,
94,94,20188462,감쪽같은 그녀,469.015,7,드라마,전체관람가,12,2019,1,34,7.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,95,20193601,장사리 : 잊혀진 영웅들,1140.708,3,전쟁,청소년관람가,9,2019,4,34,8.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,96,20185161,나를 찾아줘,642.367,101,스릴러,청소년관람가,11,2019,4,34,7.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,97,20176251,내안의 그놈,1917.999,1,판타지,청소년관람가,1,2019,1,34,8.54,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
98,98,20184621,엑시트,9425.492,2,코미디,청소년관람가,7,2019,3,34,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,99,20194621,아직 사랑하고 있습니까?,1.216,34,코미디,18세이상관람가,12,2019,1,34,7.67,,,,,,,,,,
100,100,20181434,신의 한 수: 귀수편,2155.013,10,범죄,청소년관람가,11,2019,4,34,7.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,101,20184341,얼굴없는 보스,23.451,16,액션,청소년관람가,11,2019,4,34,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,102,20199435,몬테크리스토,1.661,9,뮤지컬,청소년관람가,11,2019,4,34,9.5,,,,,,,,,,
103,103,20184462,봉오동 전투,4784.7029999999995,2,사극,청소년관람가,8,2019,3,34,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,104,20195920,가장 보통의 연애,2923.009,13,멜로/로맨스,청소년관람가,10,2019,4,34,7.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,105,20140703,장수상회,1166.729,1,멜로/로맨스,청소년관람가,4,2015,2,30,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
106,106,20174142,아이 캔 스피크,3283.073,3,코미디,청소년관람가,9,2017,4,32,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,107,20188750,나쁜 녀석들: 더 무비,4573.353,3,범죄,청소년관람가,9,2019,4,34,6.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,108,20185361,두번할까요,175.567,7,코미디,청소년관람가,10,2019,4,34,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
109,109,20184105,말모이,2866.453,1,드라마,청소년관람가,1,2019,1,34,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,110,20030003,클래식,15.24,19,드라마,전체관람가,1,2003,1,22,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,111,20110279,마당을 나온 암탉,2204.374,28,애니메이션,전체관람가,7,2011,3,26,8.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,112,20186707,오늘도 위위,1.114,40,드라마,전체관람가,10,2019,4,34,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,113,20194456,양자물리학,552.187,33,범죄,청소년관람가,9,2019,4,34,8.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,114,20185784,나의 특별한 형제,1476.777,1,드라마,청소년관람가,5,2019,2,34,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,115,20184572,타짜: 원 아이드 잭,2227.5429999999997,69,범죄,18세이상관람가,9,2019,4,34,5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,116,20184543,변신,1803.112,5,공포(호러),청소년관람가,8,2019,3,34,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
117,117,20182585,비스트,203.042,5,범죄,청소년관람가,6,2019,3,34,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,118,20181416,유열의 음악앨범,1240.975,105,멜로/로맨스,청소년관람가,8,2019,3,34,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,119,20185985,광대들: 풍문조작단,632.384,199,사극,청소년관람가,8,2019,3,34,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120,120,20020061,집으로...,4.975,51,드라마,전체관람가,4,2002,2,21,9.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,121,20182490,나랏말싸미,954.88,3,사극,전체관람가,7,2019,3,34,3.53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
122,122,20193642,캐리tv 러브콘서트 더 무비,29.090999999999998,22,공연,전체관람가,8,2019,3,34,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,123,20188404,암전,101.366,36,미스터리,청소년관람가,8,2019,3,34,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,124,20180442,사자,1602.046,213,미스터리,청소년관람가,7,2019,3,34,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,125,20194044,공포체험단 곤지암편,3.282,11,공포(호러),청소년관람가,7,2019,3,34,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,126,20185353,기방도령,284.283,5,코미디,청소년관람가,7,2019,3,34,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,127,20193013,극장판 샤이닝스타:새로운 루나퀸의 탄생!,15.703,6,애니메이션,전체관람가,7,2019,3,34,9.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,128,20185986,진범,166.838,38,스릴러,청소년관람가,7,2019,3,34,7.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,129,20198453,롱 리브 더 킹: 목포 영웅,1092.611,7,액션,청소년관람가,6,2019,3,34,7.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,130,20188941,악인전,3364.1,6,범죄,18세이상관람가,5,2019,2,34,8.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,131,20124079,"광해, 왕이 된 남자",12323.988000000001,1,사극,청소년관람가,9,2012,4,27,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,132,20187981,배심원들,287.902,1,드라마,청소년관람가,5,2019,2,34,8.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,133,20122783,감시자들,5509.019,1,범죄,청소년관람가,7,2013,3,28,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,134,20180361,귀신의 향기,0.5429999999999999,17,공포(호러),청소년관람가,7,2019,3,34,5.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,135,20184082,걸캅스,1627.524,9,코미디,청소년관람가,5,2019,2,34,5.63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
136,136,20199448,어린 의뢰인,199.375,6,드라마,청소년관람가,5,2019,2,34,9.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,137,20151229,더 킹,5317.959,1,범죄,청소년관람가,1,2017,1,32,8.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,138,20188144,0.0MHz,136.939,26,공포(호러),청소년관람가,5,2019,2,34,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,139,20191744,노리개: 그녀의 눈물,2.287,50,드라마,청소년관람가,6,2019,3,34,7.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
